iter	MultiClass	Accuracy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8	F1:class=9
127	1.034363293	0.7312076847	0.7023093958	0.7442779516	0.7245040514	0.791312559	0.7042467139	0.7516330785	0.7392439863	0.72713368	0.722793798	0.6993845668
128	1.032617287	0.7316416874	0.704149509	0.7456400132	0.7236658284	0.7909863716	0.7046632124	0.7528855514	0.7394056136	0.7267450741	0.7227206946	0.7006630881
129	1.028305046	0.7335223656	0.7065131683	0.7481517989	0.7252378288	0.7939983779	0.7080965012	0.7521224774	0.7406185567	0.7304986234	0.7244868459	0.7006490423
130	1.02332016	0.7356923789	0.7074593913	0.7487684729	0.7267393127	0.7951969779	0.7106894371	0.7545961003	0.744595897	0.7304986234	0.7280104333	0.7051767677
131	1.018672514	0.7387593311	0.7096062992	0.7508218277	0.7329140461	0.7964338782	0.7124017246	0.7592644191	0.7474552957	0.7338217338	0.7303517152	0.709483983
132	1.015038851	0.7411029454	0.7087332809	0.7528679122	0.7340991874	0.7981614168	0.7167174797	0.7608422814	0.7488986784	0.738011874	0.7328994939	0.7147137675
133	1.01176668	0.7425785545	0.7093425606	0.7559699051	0.7376362112	0.799512987	0.7180918549	0.761385862	0.7485203028	0.7400396886	0.7324472696	0.7182163188
134	1.007047002	0.7451247034	0.7129615082	0.7608944018	0.7382889201	0.8	0.7206312842	0.7645824591	0.7538228406	0.7419404125	0.7349467012	0.7188679245
135	1.003630086	0.7470921822	0.7157894737	0.7615937296	0.7414059211	0.8015163823	0.7233880198	0.7668161435	0.7550598926	0.7438746005	0.7380265436	0.7188925594
136	0.999493002	0.7490596609	0.7178683386	0.7636600881	0.7437622652	0.8040650407	0.7232256423	0.7696833847	0.7564438318	0.7463095419	0.7407514451	0.7206044388
137	0.997910827	0.7499855332	0.7185196801	0.7658950114	0.7454060878	0.8048846676	0.7228364468	0.7697257974	0.7577845136	0.7465732562	0.7419075145	0.7224933102
138	0.9961775671	0.7508246051	0.7211884285	0.7667752443	0.7448779119	0.8052124338	0.7235937898	0.7708245835	0.7575006881	0.7496575864	0.7433858609	0.7216527362
139	0.9934764633	0.7520976795	0.7231850117	0.7693811075	0.7458579051	0.8057475939	0.7256050955	0.7712363331	0.7587822014	0.7504187605	0.7440785673	0.7232902616
140	0.9905377859	0.7536890226	0.7255451713	0.7695560254	0.7486284991	0.8066178465	0.7265087853	0.7744382022	0.7598072953	0.7532784385	0.7453416149	0.7238664987
141	0.9882127219	0.7549331636	0.7256582022	0.772675645	0.7491920753	0.8076402059	0.728666326	0.7738764045	0.7615374018	0.7549931392	0.7467129028	0.7249842668
